Loyer au m2,KEY,Prix,Département,ville,Code Postal,Adresse,Type,Nombre de pièces,Surface,Latitude,Longitude,Prix au m2,Mensualité,Coût total des intérêts,Frais de notaire,Loyer mensuel,Taux de rendement
31,75-101,310000,75,PARIS 01,75001,217 RUE SAINT-HONORE,Appartement,2,35,48.8653185001806,2.33041429007133,8857,1636,180888.26,24800.0,1097,2.55
31,75-101,400000,75,PARIS 01,75001,19 RUE DU BOULOI,Appartement,2,52,48.8640344466966,2.34111063736091,7692,2111,233404.21,32000.0,1630,2.94
31,75-101,523600,75,PARIS 01,75001,40 RUE COQUILLIERE,Appartement,2,50,48.8645364989218,2.3412513280043,10472,2764,305526.11,41888.0,1567,2.16
31,75-101,583683,75,PARIS 01,75001,8 RUE DE LA COSSONNERIE,Appartement,2,46,48.8615968959291,2.34862785095326,12689,3081,340585.03,46694.62,1442,1.78
31,75-101,449500,75,PARIS 01,75001,2 RUE CROIX DES PETITS CHAMPS,Appartement,2,25,48.8623062645985,2.33938068750624,17980,2373,262287.98,35960.0,784,1.26
31,75-101,931800,75,PARIS 01,75001,19 PL DU MARCHE ST HONORE,Appartement,3,78,48.8666116269317,2.33090499289479,11946,4918,543715.1,74544.0,2445,1.89
31,75-101,839300,75,PARIS 01,75001,30 RUE SAINT-DENIS,Appartement,3,65,48.8599562244316,2.34842147644263,12912,4430,489740.38,67144.0,2037,1.75
31,75-101,584675,75,PARIS 01,75001,2 RUE SAINTE OPPORTUNE,Appartement,2,41,48.8597512347892,2.34730396480871,14260,3086,341164.01,46774.0,1285,1.59
31,75-101,627043,75,PARIS 01,75001,6 RUE BAILLEUL,Appartement,2,51,48.8611215226273,2.34200554806647,12295,3310,365886.33,50163.46,1599,1.84
31,75-101,411636,75,PARIS 01,75001,272 RUE SAINT-HONORE,Appartement,2,32,48.8644555962177,2.3333371203653,12864,2173,240193.97,32930.8848,1003,1.76
31,75-101,675000,75,PARIS 01,75001,17 RUE PIERRE LESCOT,Appartement,2,46,48.863214103634,2.34855615543695,14674,3563,393869.6,54000.0,1442,1.54
31,75-101,876000,75,PARIS 01,75001,16 RUE MONTMARTRE,Appartement,3,64,48.8638925442607,2.34594161597109,13688,4624,511155.22,70080.0,2006,1.65
31,75-101,557000,75,PARIS 01,75001,5 RUE DE TURBIGO,Appartement,3,52,48.8637341383414,2.3476833219042,10712,2940,325015.36,44560.0,1630,2.11
